,Chroni obstructive pulmonary disease,Area deprivation index,Gender ratio,National walkability index,Per capita income,Crude percent of adults with depression,Percentage of people with disability,Life expectancy at birth,Number of people travel by bicycle to work,Number of people with disability - Aged 5 and above,Average travel time to work,Coronary heart disease,Current ashthma,Diabetes,High blood pressure,No leisure time physical activity,Obesity,Physical health not good for people aged above 18,Stroke
0,6.8,2.0,154.0,9.0,40339.0,21.7,17.4,75.2,0.0,0.0,,4.9,11.3,8.8,27.5,24.1,37.4,12.7,2.7
1,11.5,,100.0,13.67,16110.0,24.1,11.15,81.7,0.0,0.0,23.0,7.4,14.2,14.9,35.7,38.9,46.0,20.5,4.7
2,7.3,7.0,202.0,14.0,22332.0,25.1,12.4,77.0,0.0,0.0,,6.0,11.3,10.4,31.2,24.7,36.8,13.0,3.3
3,9.7,10.0,110.0,12.5,22362.0,23.2,22.56,74.7,0.0,0.0,21.0,6.1,13.4,12.0,31.2,35.1,43.9,18.2,3.7
4,7.2,4.0,107.0,6.0,39177.0,19.8,22.29,80.0,7.0,0.0,,6.3,10.3,10.2,32.0,21.1,34.3,12.2,3.1
5,9.0,7.0,132.0,6.17,41811.0,25.3,17.36,69.7,16.0,0.0,,5.6,13.6,11.3,29.8,34.0,43.1,17.5,3.4
6,9.8,9.0,189.0,11.33,18295.0,24.2,22.35,74.2,0.0,0.0,,7.1,12.2,12.0,33.2,30.9,40.5,16.6,3.9
7,8.4,2.0,118.0,14.17,44186.0,21.6,14.18,,0.0,0.0,,5.7,13.0,12.8,33.4,31.3,43.2,15.9,3.7
8,10.3,8.0,105.0,12.0,34080.0,22.7,21.06,77.5,48.0,0.0,,6.8,13.3,12.5,32.6,33.9,43.3,18.3,3.9
9,8.7,10.0,122.0,14.83,25384.0,23.4,17.1,73.6,31.0,7.0,,6.7,11.8,12.5,34.2,28.8,39.1,15.1,3.9
10,8.7,9.0,66.0,15.17,15598.0,22.1,19.4,78.4,0.0,0.0,,6.1,12.2,11.4,31.1,29.5,40.0,15.5,3.4
11,7.6,7.0,145.0,13.83,24962.0,23.6,22.64,,0.0,0.0,,5.6,11.6,10.2,30.2,25.2,38.2,13.6,3.2
12,8.8,6.0,71.0,11.5,19772.0,23.3,15.03,74.1,4.0,21.0,,6.2,12.2,11.3,31.3,29.5,40.1,15.6,3.5
13,9.0,8.0,127.0,9.0,30439.0,19.7,23.32,76.4,3.0,5.0,,8.0,11.6,14.1,38.4,28.5,39.3,15.3,4.6
14,9.6,8.0,139.0,11.5,34101.0,19.6,12.29,76.4,8.0,0.0,,6.9,12.7,13.6,35.4,32.8,43.6,17.2,4.1
15,10.7,7.0,60.0,14.5,21736.0,22.3,28.1,74.2,0.0,0.0,,6.7,14.1,13.8,34.1,37.1,47.1,20.0,4.1
16,8.0,3.0,93.0,13.33,58727.0,22.4,16.33,77.5,0.0,0.0,,6.0,11.6,10.9,31.3,27.4,39.0,14.2,3.3
17,9.0,9.0,41.0,13.33,9752.0,24.4,19.37,76.6,0.0,0.0,,6.1,13.0,12.3,32.6,32.4,41.4,16.4,3.8
18,6.6,9.0,73.0,12.0,8893.0,23.0,11.32,76.4,0.0,0.0,,5.2,12.2,8.3,25.0,22.3,32.5,12.1,2.7
19,7.2,6.0,63.0,11.67,29992.0,20.5,4.71,,24.0,0.0,,6.3,10.1,9.9,34.0,23.2,35.4,12.3,3.2
20,1.8,6.0,63.0,15.33,29992.0,24.7,12.53,79.3,55.0,3.0,,0.7,12.1,1.3,7.5,15.9,20.5,5.3,0.5
